district_name,vilname,schcd,schname,schmgt_desc,schmgt,schcat,rururb,schcat_desc,rururb,schtype,pincd,disthq,distcrc,estdyear,lowclass,highclass,ppsec_yn,ppstudent,ppteacher,workdays,schres_yn,resitype,schshi_yn,noinspect,visitscrc,visitsbrc,conti_r,conti_e,tlm_r,tlm_e,funds_e,funds_r,osrc_e,osrc_r,tchsan,tchpos,parapos,ntpos,medinstr1,medinstr2,medinstr3,medinstr4,supvar1,supvar2,supvar3,supvar4,supvar5,schmntcgrant_r,schmntcgrant_e,tle_r,tle_e,postaladdr,stdcode1,phone1,mobile1,stdcode2,phone2,mobile2,email,website,parasanct_ele,tchsanct_sec,tchposn_sec,parasanct_sec,paraposn_sec,tchsanct_hsec,tchposn_hsec,parasanct_hsec,paraposn_hsec,tchregu_upr,tchpara_upr,tchpart_upr,tchsanct_pr,parasanct_pr,ntsanct_sec,ntposn_sec,ntsanct_hsec,ntposn_hsec,anganwadi_yn,anganwadi_stu,anganwadi_tch,latdeg,latmin,latsec,londeg,lonmin,lonsec,approachbyroad,yearrecog,yearupgrd,cwsnsch_yn,visitsrtcwsn,distp,distu,dists,disth,meds1,meds2,meds3,meds4,medh1,medh2,medh3,medh4,boardsec,boardhsec,yearrecogs,yearrecogh,yearupgrds,yearupgrdh,schresupr_yn,schressec_yn,schreshsec_yn,cpp_b,cpp_g,c1_b,c1_g,c2_b,c2_g,c3_b,c3_g,c4_b,c4_g,c5_b,c5_g,c6_b,c6_g,c7_b,c7_g,c8_b,c8_g,c9_b,c9_g,c10_b,c10_g,c11_b,c11_g,c12_b,c12_g,tch_m,tch_f,tch_t,tchpri,tchupr,tchsec,tchhsec,tchnr_clstaught,tchcwsntrnd,tchdisable,tchregu,tchcont,tchpart
MAMIT,SUARHLIAP,15010100405,SUARHLIAP RMSA SECONDARY SCHOOL,RMSA                                                                       ,14,8,2,Secondary Only,Urban,9,796441,0,0,2012,9,10,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,98,98,,,,,,0,0,0,0,,,,9856285128,,,9862501848,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,24,8,30,92,30,57,1,,,2,0,0,0,0,0,,,,,,,,,2,0,2012,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,3,7,0,0,0,0,4,2,6,0,0,6,0,0,0,6,0,6,0
MAMIT,BAWNGVA,15010100501,GOVT. BAWNGVA P/S,Department of Education,1,1,1,Primary,Rural,3,796441,18,18,1986,1,4,2,0,0,0,2,5,2,1,8,2,5000,5000,0,0,0,0,0,0,0,1,2,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8974144469,,,9862864902,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,91,27,92,42,68,1,1990,0,2,0,0,2,3,0,,,,,,,,,5,5,,,,,9,0,0,0,0,27,26,17,16,8,9,4,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3,0,0,0,0,0,3,1,2,0
MAMIT,BAWNGVA,15010100502,BAWNGVA UPS (SSA),SSA                                                                        ,10,4,1,Upper Primary only,Rural,3,796441,18,18,2006,5,8,2,0,0,0,1,1,2,0,6,2,7000,7000,0,0,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9862036486,,,,,,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,0,2,0,0,23,91,35,92,42,63,1,2006,0,2,0,0,0,2,0,,,,,,,,,5,5,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,10,10,2,5,6,2,10,0,0,0,0,0,0,0,0,0,2,5,7,0,7,0,0,0,0,7,0,5,2
MAMIT,DARLAK,15010100601,GOVT. DARLAK P/S,Department of Education,1,1,1,Primary,Rural,3,796441,18,18,1982,1,4,2,0,0,0,2,5,2,0,8,2,5000,5000,0,0,0,0,0,0,0,2,1,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8974669025,,,9612868956,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,90,23,92,41,44,1,1990,0,2,0,0,1,1,0,,,,,,,,,5,5,,,,,9,0,0,0,0,9,13,11,5,11,14,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,3,2,1,0
MAMIT,DARLAK,15010100602,GOVT. DARLAK M/S,Department of Education,1,4,1,Upper Primary only,Rural,3,796441,18,18,1992,5,8,2,0,0,0,2,5,2,1,8,2,7000,7000,0,0,0,0,0,0,0,0,0,1,25,98,98,98,,,,,,7500,7500,0,0,,,,8974965523,,,8974981862,,,0,0,0,0,0,0,0,0,0,2,6,0,0,0,0,0,0,0,2,0,0,23,90,33,92,41,97,1,1995,0,2,0,0,2,1,0,,,,,,,,,5,5,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,13,12,14,11,12,11,8,7,0,0,0,0,0,0,0,0,5,3,8,0,8,0,0,0,0,8,2,6,0
MAMIT,DARLAK,15010100603,DARLAK LEILET P/S (SSA),SSA                                                                        ,10,1,1,Primary,Rural,3,796441,18,18,2008,1,4,2,0,0,0,2,5,2,1,8,2,5000,5000,0,0,0,0,0,0,0,0,2,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9612612595,,,9402175064,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,90,20,92,41,84,1,2008,0,2,0,0,1,1,0,,,,,,,,,5,5,,,,,9,0,0,0,0,12,11,4,4,3,3,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,0,2,0
MAMIT,DARLAK,15010100604,"EMMANUEL ENGLISH SCHOOL, DARLAK (Pvt.)",Pvt. Unaided,5,2,1,Primary with Upper Primary,Rural,3,796441,18,18,2006,1,8,1,42,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,98,98,98,,,,,,0,0,0,0,,,,9862438888,,,,,,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,2,0,0,23,90,28,92,41,94,1,2006,2006,2,0,0,0,0,0,,,,,,,,,5,5,,,,,2,0,0,23,19,9,6,7,8,3,9,5,0,3,1,3,2,2,3,0,0,0,0,0,0,0,0,0,0,3,2,5,2,3,0,0,0,0,5,0,5,0
MAMIT,DARLAK,15010100606,DARLAK RMSA SECONDARY SCHOOL,RMSA                                                                       ,14,8,1,Secondary Only,Rural,3,796441,,,2011,9,10,2,,,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,98,98,,,,,,0,0,0,0,,,,9612297481,,,9862709750,,,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,53,58,92,25,10,1,0,,2,0,0,0,0,0,,,,,,,,,2,5,2011,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,11,5,8,0,0,0,0,2,6,8,0,0,8,0,0,0,8,0,8,0
MAMIT,NEW MAMIT,15010100702,GOVT. MAMIT P/S-IV,Department of Education,1,1,2,Primary,Urban,3,796441,0,0,1981,1,4,2,0,0,0,2,5,2,1,9,2,0,0,0,0,0,0,0,0,0,2,2,0,25,98,98,98,,,,,,0,0,0,0,,,,8974965377,,,9862705817,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,89,45,92,49,75,1,1990,0,2,0,0,2,3,0,,,,,,,,,5,5,,,,,9,0,0,0,0,12,9,2,1,5,2,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,4,0,0,0,0,0,4,2,2,0
MAMIT,NEW MAMIT,15010100703,GOVT. MAMIT P/S-VI,Department of Education,1,1,2,Primary,Urban,3,796441,0,3,1997,1,4,2,0,0,0,2,5,2,0,8,2,5000,5000,0,0,0,0,0,0,0,2,4,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8729918851,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,90,65,92,49,24,1,1997,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,9,10,6,7,7,8,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,6,6,0,0,0,0,0,6,2,4,0
MAMIT,NEW MAMIT,15010100707,GOVT. AGAPE M/S-IV,Department of Education,1,4,2,Upper Primary only,Urban,3,796441,0,0,1988,5,8,2,0,0,0,2,5,2,1,8,2,7000,7000,0,0,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9612695186,,,8131822253,,,0,0,0,0,0,0,0,0,0,6,2,2,0,0,0,0,0,0,2,0,0,23,89,91,92,49,64,1,1990,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,4,3,2,2,4,6,6,4,0,0,0,0,0,0,0,0,6,4,10,0,10,0,0,0,0,10,6,2,2
MAMIT,NEW MAMIT,15010100708,NALZAWL P/S (SSA),SSA                                                                        ,10,1,1,Primary,Rural,3,796441,19,19,2003,1,4,2,0,0,0,2,5,2,0,9,2,5000,5000,0,0,0,0,0,0,0,0,3,0,25,98,98,98,,,,,,7000,7000,0,0,,,,9862210467,,,9612028648,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,86,69,92,42,48,1,2003,2006,2,0,0,7,7,0,,,,,,,,,5,5,,,,,9,0,0,0,0,32,16,19,29,12,5,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,0,0,0,3,0,3,0
MAMIT,NEW MAMIT,15010100709,NALZAWL UPS (SSA),SSA                                                                        ,10,4,1,Upper Primary only,Rural,3,796441,19,19,2005,5,8,2,0,0,0,2,5,2,0,0,0,7000,7000,0,0,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8119042142,,,9436756300,,,0,0,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,2,0,0,23,86,69,92,42,48,1,2005,2006,2,0,0,0,7,0,,,,,,,,,5,5,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,8,10,8,12,1,3,10,1,0,0,0,0,0,0,0,0,2,3,5,0,5,0,0,0,0,5,0,3,2
MAMIT,NEW MAMIT,15010100710,NEW MAMIT UPS (SSA),SSA                                                                        ,10,4,2,Upper Primary only,Urban,2,796441,0,0,2008,5,8,2,0,0,0,1,4,2,1,10,2,7000,7000,0,0,0,0,0,0,0,0,0,1,25,98,98,98,,,,,,7500,7500,0,0,,,,8119042142,,,,,,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,2,0,0,23,87,90,92,49,94,1,2008,0,2,0,0,2,0,0,,,,,,,,,5,5,,,,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,9,0,13,0,15,0,0,0,0,0,0,0,0,5,5,10,0,10,0,0,0,0,10,0,8,2
MAMIT,NEW MAMIT,15010100712,NEW MAMIT RMSA SECONDARY SCHOOL,RMSA                                                                       ,14,8,2,Secondary Only,Urban,3,796441,,,2011,9,10,2,0,0,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,98,98,,,,,,0,0,0,0,,,,9862694742,,,,,,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,53,6,92,29,52,1,0,0,2,0,0,0,0,0,,,,,,,,,2,5,2011,,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,9,7,0,0,0,0,5,4,9,0,0,9,0,0,0,9,0,9,0
MAMIT,NEW MAMIT,15010100713,ST. FRANCIS OF ASSISI HIGH SCHOOL,Pvt. Unaided,5,8,2,Secondary Only,Urban,3,796441,,,2003,9,10,2,,,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,98,98,,,,,,0,0,0,0,,0389,2565027,9612558663,,,,,,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,54,42,92,29,26,1,0,0,2,0,0,0,0,0,,,,,,,,,2,5,2009,,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,28,18,12,0,0,0,0,3,3,6,0,0,6,0,0,0,6,0,6,0
MAMIT,NEW MAMIT,15010100714,NEW DIAMOND SCHOOL (Pvt.),Pvt. Unaided,5,1,2,Primary,Urban,3,796441,0,0,2012,1,5,1,54,2,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,19,98,98,98,,,,,,0,0,0,0,,,,9612297925,,,8258995142,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,91,21,92,49,40,1,2013,,2,0,0,0,0,0,,,,,,,,,0,0,,,,,2,0,0,30,24,14,9,19,13,8,5,7,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,8,10,10,0,0,0,0,0,10,0,10,0
MAMIT,NEW MAMIT,15010100715,ST FRANCIS OF ASSISSI M/S MAMIT,Church                                                                     ,12,4,2,Upper Primary only,Urban,3,796441,0,0,2003,5,8,9,0,0,0,9,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,98,98,,,,,,0,0,0,0,,,,8794435724,,,8257038345,,,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,9,0,0,23,91,16,92,49,6,1,2009,,2,0,0,0,0,0,,,,,,,,,0,0,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,45,36,33,33,35,31,34,28,0,0,0,0,0,0,0,0,5,7,12,0,12,0,0,0,0,12,0,12,0
MAMIT,NEW MAMIT,15010100716,NEW DIAMOND SCHOOL M/S (Pvt.),Pvt. Unaided,5,4,2,Upper Primary only,Urban,3,796441,0,0,2012,5,8,9,0,0,0,9,9,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,19,98,98,98,,,,,,0,0,0,0,,,,9862034124,,,,,,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,9,0,0,23,91,21,92,49,40,1,2013,2013,2,0,0,1,1,0,,,,,,,,,0,0,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,18,8,14,7,13,9,12,8,0,0,0,0,0,0,0,0,6,1,7,0,7,0,0,0,0,7,0,7,0
MAMIT,NEW MAMIT,15010100718,NEW MAMIT P/S (SSA),SSA                                                                        ,10,1,2,Primary,Urban,3,796441,0,0,2015,1,4,2,0,0,0,2,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,25,98,98,98,,,,,,0,0,0,0,,,,8119042142,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,23,87,90,92,49,94,1,0,0,2,0,0,0,0,0,98,98,98,98,98,98,98,98,0,0,,,,,0,0,0,0,0,14,9,13,9,14,8,7,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,4,0,0,0,0,0,4,0,4,0
MAMIT,PHAIZAU,15010100801,GOVT. PHAIZAU  P/S,Department of Education,1,1,1,Primary,Rural,3,796441,10,10,1961,1,4,2,0,0,0,2,5,2,1,7,2,5000,5000,0,0,0,0,0,0,0,1,1,0,25,98,98,98,,,,,,7500,7500,0,0,,,,,,,9862538988,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,92,60,92,52,23,1,1970,0,2,0,0,7,7,0,,,,,,,,,5,5,,,,,9,0,0,0,0,17,12,0,4,4,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,2,1,1,0
MAMIT,PHAIZAU,15010100802,PHAIZAU UPS (SSA),SSA                                                                        ,10,4,1,Upper Primary only,Rural,3,796441,10,10,2006,5,8,2,0,0,0,2,5,2,0,6,2,7000,7000,0,0,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9612468014,,,9612695197,,,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,2,0,0,23,92,59,92,52,25,1,2006,0,2,0,0,0,7,0,,,,,,,,,5,5,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,2,4,4,5,0,7,7,0,0,0,0,0,0,0,0,0,6,0,6,0,6,0,0,0,0,6,0,5,1
MAMIT,K. SARALI,15010100901,K. SARALI P/S (SSA),SSA                                                                        ,10,1,1,Primary,Rural,3,796441,40,10,2004,1,4,2,0,0,0,2,5,2,0,8,1,5000,5000,0,0,0,0,0,0,0,0,2,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9612564714,,,8731914120,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,98,64,92,42,56,1,2004,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,11,10,6,7,6,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,2,0,2,0
MAMIT,K. SARALI,15010100902,K. SARALI UPS (SSA),SSA                                                                        ,10,4,1,Upper Primary only,Rural,3,796441,40,10,2008,5,8,2,0,0,0,2,5,2,1,8,2,7000,7000,0,0,0,0,0,0,0,0,0,0,25,98,98,98,,,,,,7500,7500,0,0,,,,8413932342,,,8413061268,,,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,2,0,0,23,98,62,92,42,30,1,2008,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,2,0,0,0,0,0,0,0,0,0,0,0,0,5,7,0,1,0,3,0,0,0,0,0,0,0,0,0,0,4,1,5,0,5,0,0,0,0,5,0,4,1
MAMIT,KAWRTHAH,15010101001,GOVT. KAWRTHAH P/S-I,Department of Education,1,1,1,Primary,Rural,3,796431,40,1,1935,1,4,2,0,0,0,2,5,2,1,13,2,5000,5000,0,0,0,0,0,0,0,1,3,0,19,98,98,98,,,,,,7500,7500,0,0,,,,9862607219,,,9615451971,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23,99,70,92,37,40,1,1950,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,33,17,3,7,15,8,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0,0,0,0,0,4,1,3,0
MAMIT,KAWRTHAH,15010101003,GOVT. KAWRTHAH P/S-III,Department of Education,1,1,1,Primary,Rural,3,796431,26,1,1986,1,4,2,0,0,0,2,5,2,1,13,2,5000,5000,0,0,0,0,0,0,0,1,3,0,25,98,98,98,,,,,,7500,7500,0,0,,,,9862710626,,,8974429945,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,24,0,55,92,37,59,1,1990,0,2,0,0,0,0,0,,,,,,,,,5,5,,,,,9,0,0,0,0,3,5,3,4,2,3,3,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,4,4,0,0,0,0,0,4,1,3,0
